,id,gender,age,hypertension,heart_disease,ever_married,work_type,Residence_type,avg_glucose_level,bmi,smoking_status,stroke
id,1.0,-0.0014059201526806597,0.0035380650422437493,0.003549614713938955,-0.0012959409194148422,-0.013689575783578682,-0.01802951231210229,0.0014030649337623945,0.0010923550575069499,0.0030840002635500034,-0.018551047686395997,0.006388170005146087
gender,-0.0014059201526806597,1.0,0.02730014993985829,-0.02139009538751775,-0.08574918291257286,-0.02936577801264032,-0.06621157937589672,-0.005528715100870121,-0.05421339971268111,0.025657718896406247,-0.03969316914655951,-0.00920029998896633
age,0.0035380650422437493,0.02730014993985829,1.0,0.27639762763497583,0.2637959156046759,-0.679125002716255,-0.41326973973411074,-0.014180009002803385,0.2381711141017428,0.3333979951604398,-0.37584521001105164,0.24525734617097422
hypertension,0.003549614713938955,-0.02139009538751775,0.27639762763497583,1.0,0.10830607646089001,-0.1642430929068944,-0.07509670077477337,0.007913454513884128,0.17447381058363234,0.16781058443847824,-0.12901203399682343,0.12790382346648013
heart_disease,-0.0012959409194148422,-0.08574918291257286,0.2637959156046759,0.10830607646089001,1.0,-0.11464406209801255,-0.058262827167220935,-0.0030920209783137417,0.16185733226966803,0.04135744287272015,-0.06467123098340419,0.13491399696869258
ever_married,-0.013689575783578682,-0.02936577801264032,-0.679125002716255,-0.1642430929068944,-0.11464406209801255,1.0,0.37594425465256903,0.006260950454625661,-0.1550677869472857,-0.34169465159680845,0.3036944953134055,-0.10833974165701023
work_type,-0.01802951231210229,-0.06621157937589672,-0.41326973973411074,-0.07509670077477337,-0.058262827167220935,0.37594425465256903,1.0,-0.0145727463058003,-0.06813512491118096,-0.3472413855277976,0.3077735711380157,-0.0582241323477384
Residence_type,0.0014030649337623945,-0.005528715100870121,-0.014180009002803385,0.007913454513884128,-0.0030920209783137417,0.006260950454625661,-0.0145727463058003,1.0,0.004945651822259209,0.00012244119312679373,-0.0046559819267486015,-0.015457965477257484
avg_glucose_level,0.0010923550575069499,-0.05421339971268111,0.2381711141017428,0.17447381058363234,0.16185733226966803,-0.1550677869472857,-0.06813512491118096,0.004945651822259209,1.0,0.17550217613626057,-0.09773222857545284,0.13194544082570953
bmi,0.0030840002635500034,0.025657718896406247,0.3333979951604398,0.16781058443847824,0.04135744287272015,-0.34169465159680845,-0.3472413855277976,0.00012244119312679373,0.17550217613626057,1.0,-0.23573976457125484,0.04237366114923311
smoking_status,-0.018551047686395997,-0.03969316914655951,-0.37584521001105164,-0.12901203399682343,-0.06467123098340419,0.3036944953134055,0.3077735711380157,-0.0046559819267486015,-0.09773222857545284,-0.23573976457125484,1.0,-0.06639274486408646
stroke,0.006388170005146087,-0.00920029998896633,0.24525734617097422,0.12790382346648013,0.13491399696869258,-0.10833974165701023,-0.0582241323477384,-0.015457965477257484,0.13194544082570953,0.04237366114923311,-0.06639274486408646,1.0
